word,id
that.,15
“Good,15
snake,15
call,15
leave,15
"Snape,",15
pointing,15
Every,15
Ollivander,15
above,15
work,15
hall,15
“Well,15
Sorcerer’s,15
thinking,15
Neville’s,15
also,15
feet.,15
house,15
speak,15
in.,15
mirror,15
"too,",15
"“No,",15
Nimbus,15
“We’ve,15
sound,15
"however,",15
does,15
dog,15
dragon,15
pair,15
different,15
turning,15
reason,15
forgotten,15
idea,15
climbed,15
dead,15
“This,15
day.,15
window,15
wait,15
owls,15
"out,",15
Crabbe,15
“Just,14
morning,14
hope,14
Muggles,14
"feet,",14
forget,14
"face,",14
twins,14
whispered,14
number,14
asleep,14
"back,",14
blood,14
bent,14
"all,",14
pleased,14
portrait,14
safe,14
Dumbledore’s,14
ground.,14
leapt,14
swung,14
“Why,14
"“Yes,",14
note,14
supposed,14
Invisibility,14
woman,14
parents,14
bright,14
Norbert,14
"long,",14
meet,14
robes,14
open.,14
“You’re,14
allowed,14
running,14
“Come,14
twelve,14
later,14
somewhere,14
trouble,14
legs,14
was.,14
once.,14
shouted,14
huge,14
family,14
“No,14
hurried,14
"time,",13
week,13
"was,",13
terrible,13
Snape’s,13
Gringotts,13
sight,13
"boy,",13
Even,13
mouth,13
year,13
hit,13
having,13
Everyone,13
aunt,13
"Hogwarts,",13
castle,13
time.,13
window.,13
himself.,13
Gryffindors,13
muttered,13
forest,13
"once,",13
“Harry,13
game,13
Nicolas,13
Seamus,13
walking,13
teachers,13
"left,",13
class,13
pain,13
unicorn,13
run,13
street,13
ground,13
“Are,13
“There’s,13
me.,13
"away,",13
Piers,13
life,12
follow,12
Malfoy’s,12
lose,12
says,12
McGonagall.,12
learn,12
me.”,12
package,12
doors,12
third,12
liked,12
"McGonagall,",12
Goyle,12
pull,12
leaned,12
Flamel,12
yet,12
With,12
she’d,12
"Weasley,",12
either,12
seized,12
grabbed,12
inside.,12
deep,12
several,12
watching,12
"say,",12
pile,12
aren’t,12
Quaffle,12
nose,12
play,12
"Stone,",12
pink,12
Now,12
bet,12
famous,12
“Go,12
platform,12
show,12
apart,12
nine,12
noise,12
playing,12
wondered,12
“Er,12
eleven,12
words,12
students,12
hung,12
“That,12
word,12
wall.,12
cupboard,12
lamp,12
sorry,12
start,11
Fluffy,11
Potter.,11
themselves,11
obviously,11
Flint,11
"Flitwick,",11
broke,11
We,11
Perhaps,11
buy,11
"and,",11
"eyes,",11
Their,11
wrong,11
"second,",11
spoke,11
decided,11
car,11
answer,11
"hand,",11
hall.,11
rolled,11
point,11
You-Know-Who,11
loud,11
ready,11
world,11
years.,11
real,11
understand,11
hanging,11
expect,11
"Quirrell,",11
"air,",11
tail,11
lying,11
flew,11
“My,11
bed.,11
spotted,11
glad,11
Vernon’s,11
"night,",11
nasty,11
clapped,11
now.,11
Malfoy.,11
"down,",11
crept,11
leaving,11
gasped.,11
Where,11
twice,11
tiny,11
flying,11
fifty,11
changed,11
shut,11
suddenly.,11
spent,11
money,11
wondering,11
sudden,11
shot,11
ghost,11
Bane,11
Drive,11
purple,11
Firenze,11
watch,11
finally,11
smell,11
"last,",11
maybe,11
-J.K.,11
hold,11
mean,11
times,11
burst,11
hundreds,10
"school,",10
throwing,10
steal,10
we’d,10
yelled,10
"wand,",10
six,10
crowd,10
entrance,10
foot,10
died,10
“Professor,10
"hair,",10
Snape.,10
doesn’t,10
That’s,10
broken,10
during,10
“Not,10
Snitch,10
"Gryffindor,",10
"in,",10
Something,10
edge,10
slipped,10
earth,10
?”,10
stuff,10
"way,",10
stupid,10
rose,10
Granger,10
gray,10
Thousand,10
"around,",10
spell,10
nose.,10
upstairs,10
sight.,10
carrying,10
Pomfrey,10
written,10
Charlie,10
"cloak,",10
jumped,10
less,10
wild,10
Potions,10
jerked,10
Leaky,10
matter,10
joined,10
usually,10
tea,10
hoping,10
Chocolate,10
keeping,10
carried,10
People,10
starting,10
seat,10
Fang,10
"him,”",10
killed,10
witch,10
match,10
Fat,10
case,10
"Well,",10
save,10
"Filch,",10
free,10
glass,10
kitchen,10
outta,10
goes,10
Ronan,10
"mind,",10
learned,10
smiled,10
Neville.,10
realize,10
"is,",10
late,10
"day,",10
lucky,10
middle,10
usual,10
“I’ll,10
known,10
life.,10
arrived,9
waved,9
body,9
knock,9
words.,9
friends,9
blue,9
"up,”",9
hurt,9
bin,9
"wizard,",9
"though,",9
Harry?”,9
My,9
listen,9
birthday,9
heavy,9
landed,9
woke,9
knowing,9
added,9
remembered,9
reminded,9
Hedwig,9
brothers,9
rock,9
shoulder,9
asked.,9
"see,",9
Your,9
house.,9
it?,9
scared,9
instead,9
it!”,9
wand.,9
breaking,9
sit,9
wake,9
what?”,9
Scabbers,9
walk,9
hour,9
whether,9
